,ID,jamfaktor,tedadfaktor,jamMarjoee,TedadMarjoee,jamNaghd,TedadNaghd,jamcheck,Tedadcheck,tedadBargashti,JamBargashti,TedadBargashtiHazer,RialBashtiHazer,jamBedehi,TedadBedehi,Malek,Metrajh,EtebarRial,EtebarTedady,EtebarRialiNaghdi,Khas,sNoePardakht,akharinFaktor,AvalinFaktor,AkharinMarjoee,AvalinMarjoee
5593,35490,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5594,35491,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5595,35492,1851000.0,3,23500.0,1,1786000,3,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1886,1904,1884,1884
5596,35493,3158250.0,9,1646500.0,6,1170000,6,0,0,0,0,0,,340000.0,1,0,0,0,0,0,0,0,1872,1907,1889,1905
5597,35494,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5598,35495,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5599,35496,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5600,35497,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5601,35498,906000.0,2,229000.0,2,677000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1872,1890,1888,1888
5602,35499,505250.0,2,0.0,0,505000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1892,1903,0,0
5603,35500,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5604,35501,648250.0,1,29000.0,1,619000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1898,1898,1896,1896
5605,35502,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5606,35503,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5607,35504,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5608,35505,382000.0,1,0.0,0,382000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1886,1886,0,0
5609,35506,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5610,35507,340000.0,1,0.0,0,340000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1890,1890,0,0
5611,35508,269400.0,1,141000.0,1,128000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1897,1897,1895,1895
5612,35509,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5613,35510,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5614,35511,4093500.0,6,328500.0,2,3634000,6,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1882,1903,1881,1895
5615,35512,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5616,35513,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5617,35514,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5618,35515,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5619,35516,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5620,35517,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5621,35518,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5622,35519,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5623,35520,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5624,35521,258000.0,1,258000.0,1,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1895,1895,1893,1893
5625,35522,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5626,35523,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5627,35524,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5628,35525,681000.0,2,549000.0,2,132000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1891,1895,1889,1892
5629,35526,258000.0,1,258000.0,1,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1902,1902,1899,1899
5630,35527,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5631,35528,840000.0,2,0.0,0,840000,2,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1888,1907,0,0
5632,35529,405000.0,1,0.0,0,405000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1898,1898,0,0
5633,35530,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5634,35531,540000.0,2,0.0,0,535000,3,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1886,1900,0,0
5635,35532,10429440.0,6,3409980.0,4,7018000,4,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1873,1900,1871,1898
5636,35533,2090500.0,3,476000.0,2,933000,2,0,0,0,0,0,,680000.0,1,0,0,0,0,0,0,0,1871,1895,1883,1892
5637,35534,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5638,35535,451000.0,1,0.0,0,410000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1893,1893,0,0
5639,35536,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5640,35537,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5641,35538,1360000.0,2,0.0,0,680000,1,0,0,0,0,0,,680000.0,1,0,0,0,0,0,0,0,1872,1904,0,0
5642,35539,408000.0,1,0.0,0,408000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1907,1907,0,0
5643,35540,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
